"NO","納入先企業Ｃ","納入先事業所Ｃ","納入先名","郵便番号","納入先住所１","納入先住所２","電話番号","配達ルート便Ｃ","ルート名","運送便Ｃ","便名","運賃","受注ＮＯ","受注ＮＯ枝番","状態","商品Ｃ","商品名","ＳＭＣコード","材質Ｃ","材質名","サイズパターン","形状名称","サイズ１","サイズ２","サイズ３","長さ","指示ＮＯ","指示枝番","納期","着日","到着時刻","受注重量","出荷質量","納入先略称","受注員数","出荷員数","更新カウント","溶番","受注納期","工場Ｃ","ルート工場Ｃ","経由出荷フラグ","積込ソート用作業区分","作業区分","積込ソート用作業区分名"
"1","36552","01","双葉電子工業㈱長南精機工場　鋼材課今井様","297-0123","千葉県長生郡長南町蔵持１１２　","","0475-46-2611","R1","ＭＹ１","","","元払","265J040510","KR","出荷済み ","100","PD613 平  32 x 305 x 355 ","","000307","PD613","03","平","32","305","0","355","265G040510","KR","20260529","","","28.10","28.10","長南工場　今井様","1","1","4","","05/29","R","R","0","1","1","切断"
"2","36552","01","双葉電子工業㈱長南精機工場　鋼材課今井様","297-0123","千葉県長生郡長南町蔵持１１２　","","0475-46-2611","R1","ＭＹ１","","","元払","265J040511","KR","出荷済み ","100","PD613 平  43 x 305 x 355 ","","000307","PD613","03","平","43","305","0","355","265G040511","KR","20260529","","","37.40","37.40","長南工場　今井様","1","1","4","","05/29","R","R","0","1","1","切断"
"3","36552","01","双葉電子工業㈱長南精機工場　鋼材課今井様","297-0123","千葉県長生郡長南町蔵持１１２　","","0475-46-2611","R1","ＭＹ１","","","元払","265J040512","KR","出荷済み ","100","PD613 平  25 x 305 x 355 ","","000307","PD613","03","平","25","305","0","355","265G040512","KR","20260529","","","22","22","長南工場　今井様","1","1","4","","05/29","R","R","0","1","1","切断"
"4","40538","01","双葉電子工業㈱長生プレートGr林様","299-4395","千葉県長生郡長生村薮塚１０８０","","0475-32-6045","R1","ＭＹ１","","","元払","265J040544","KR","出荷済み ","100","DC53 平  38 x 205 x 375 ","","000106","DC53","03","平","38","205","0","375","265G040544","KR","20260529","","","23.50","23.50","双葉電子 長生 林様","1","1","4","","05/29","R","R","0","1","1","切断"
"5","02276","05","碓井鋼材　株式会社","279-0024","千葉県浦安市港 ２７"," ","047-353-8686","R2","ＭＹ２","","","元払","265J062765","KR","出荷済み ","100","SKD11 丸 112 x 38 ","","000105","SKD11","01","丸","112","0","0","38","265G062765","KR","20260529","","","3","3","碓井鋼材㈱","1","1","6","","05/29","R","R","0","1","1","切断"
"6","01027","08","小山鋼材　株式会社 加工工場NO.2ｼｬｯﾀｰ納入","323-0158","栃木県小山市梁字中原２３３３－","３１","0285-49-3366","R3","ＭＹ３","","","元払","265J062656","KR","出荷済み ","100","GO40F 平  38 x 305 x 1035 ","","000109","GO40F","03","平","38","305","0","1035","265G062656","KR","20260529","","","96.60","96.60","小山鋼材㈱加工工場","1","1","4","","05/29","R","R","0","1","1","切断"
"7","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062654","KR","未出荷","100","NAK80 平  32 x 255 x 2000 ","","000302","NAK80","03","平","32","255","0","2000","265G062654","KR","20260529","","","132.10","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","0","1","","05/29","R","R","0","9","9",""
"8","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062655","KR","未出荷","100","NAK80 平  19 x 305 x 2000 ","","000302","NAK80","03","平","19","305","0","2000","265G062655","KR","20260529","","","95.50","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","0","1","","05/29","R","R","0","9","9",""
"9","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062660","KR","出荷済み ","100","YK30 平  32 x 510 x 755 ","","000101","YK30","03","平","32","510","0","755","265G062660","KR","20260529","","","100.30","100.30","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","4","","05/29","R","R","0","1","1","切断"
"10","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062739","KR","出荷済み ","100","GO4 平  43 x 205 x 65 ","","000108","GO4","03","平","43","205","0","65","265G062739","KR","20260529","","","4.60","4.60","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","5","","05/29","R","R","0","1","1","切断"
